hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adults,children,babies,country,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,Room Status,Guest Type
Resort Hotel,1,2016,April,1,2,0,0,PRT,D,D,0,No Deposit,242,,0,Transient,94.16,0,1,Canceled,3/28/2016,Michael Oneill,Desired Room,Couples
Resort Hotel,1,2016,April,1,2,0,0,PRT,D,D,0,No Deposit,240,,0,Transient,68.56,0,1,Canceled,2/29/2016,Priscilla Aguirre,Desired Room,Couples
Resort Hotel,1,2016,April,2,3,1,0,PRT,H,H,0,No Deposit,240,,0,Transient,113,0,0,Canceled,3/15/2016,Brooke Armstrong,Desired Room,Family
Resort Hotel,1,2016,April,2,2,0,0,PRT,D,D,0,No Deposit,240,,0,Transient,75.8,0,1,Canceled,3/29/2016,Vanessa Rivera,Desired Room,Couples
Resort Hotel,1,2016,April,2,2,2,0,PRT,G,G,0,No Deposit,240,,0,Transient,112.71,0,0,Canceled,3/7/2016,Cathy Olson,Desired Room,Family
Resort Hotel,1,2016,April,2,2,0,0,PRT,E,E,0,No Deposit,240,,0,Transient,95,0,0,Canceled,3/1/2016,Jessica Woods,Desired Room,Couples
Resort Hotel,1,2016,April,3,2,1,0,PRT,A,A,1,No Deposit,240,,0,Transient,89,0,2,Canceled,2/5/2016,Jordan York,Desired Room,Family
Resort Hotel,1,2016,April,3,2,0,0,PRT,D,D,0,No Deposit,240,,0,Transient,74.75,0,2,Canceled,3/2/2016,Ashley Washington,Desired Room,Couples
Resort Hotel,1,2016,April,3,1,0,0,PRT,D,D,0,No Deposit,240,,0,Transient,74.75,0,2,Canceled,3/2/2016,William Mcguire,Desired Room,Family
Resort Hotel,1,2016,April,3,2,2,0,PRT,G,G,0,No Deposit,240,,0,Transient,113,0,0,Canceled,3/28/2016,Joseph Mason,Desired Room,Family
Resort Hotel,1,2016,April,4,1,0,0,ESP,A,A,0,No Deposit,240,,0,Transient,56,0,0,Canceled,3/8/2016,Abigail Harris,Desired Room,Family
Resort Hotel,1,2016,April,4,2,0,0,PRT,A,A,0,Non Refund,298,,0,Transient-Party,85,0,0,Canceled,4/4/2016,Cheryl Harris,Desired Room,Couples
Resort Hotel,1,2016,April,4,3,0,0,PRT,D,D,0,No Deposit,242,,0,Transient,94,0,1,Canceled,3/8/2016,James Horne,Desired Room,Family
Resort Hotel,1,2016,April,4,2,0,0,PRT,A,A,0,Non Refund,298,,0,Transient-Party,85,0,0,Canceled,3/30/2016,Sara Rivas,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,PRT,A,D,0,No Deposit,240,,0,Transient,66.67,0,2,Canceled,4/4/2016,Dawn Wood,Un-Desired Room,Couples
Resort Hotel,1,2016,April,4,2,2,0,PRT,G,G,0,No Deposit,240,,0,Transient,125,0,0,Canceled,3/8/2016,Nicole Erickson,Desired Room,Family
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Debbie Snyder,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Tammy Cooper,Desired Room,Couples
Resort Hotel,1,2016,April,4,2,0,0,GBR,D,D,0,Non Refund,273,,0,Transient,72,0,0,Canceled,1/14/2016,Matthew Garcia,Desired Room,Couples
